계열정보,학과명,직업분류명
예체능계열,방송·연예과,예능 강사
예체능계열,방송·연예과,배우 및 모델
예체능계열,방송·연예과,음료 조리사 
예체능계열,방송·연예과,홀서빙원
예체능계열,방송·연예과,상점 판매원
예체능계열,음악학과,총무 사무원 및 대학 행정조교
예체능계열,음악학과,전산자료 입력원 및 사무 보조원
예체능계열,음악학과,예능 강사
예체능계열,음악학과,국악인 및 전통 예능인
예체능계열,음악학과,"지휘자, 작곡가 및 연주가"
예체능계열,실용음악과,총무 사무원 및 대학 행정조교
예체능계열,실용음악과,예능 강사
예체능계열,실용음악과,"지휘자, 작곡가 및 연주가"
예체능계열,실용음악과,홀서빙원
예체능계열,실용음악과,상점 판매원
예체능계열,음향과,총무 사무원 및 대학 행정조교
예체능계열,음향과,고객 상담원 및 모니터 요원
예체능계열,음향과,감독 및 기술감독
예체능계열,음향과,음향·녹음 기사
