되는길순번,KNOW직업코드,교육1코드,교육2코드,교육3코드,학력-중졸이하,학력-고졸,학력-전문대졸,학력-대졸,학력-대학원졸,인문-언어_문학,인문-인문과학,사회-경영_경제,사회-법률,사회-사회과학,교육-일반,교육-유아,교육-특수,교육-초등,교육-중등,공학-건축,공학-토목,공학-기계_금속,공학-전기_전자,공학-화공,공학-컴퓨터_통신,공학-정밀_에너지,공학-소재_재료,"공학-교통,운송",공학-산업,공학-농림_수산,자연-생물_화학,자연-생활과학,자연-수학_물리,의학-의료,의학-간호,의학-약학,의학-치료_보건,예체능-음악,예체능-미술_조형,예체능-디자인,예체능-체육_무용,예체능-연극_영화,예체능-응용예술,학력-박사졸,학력-고졸_이후_직업교육(6개월 이상)_이수,공학-기타
310,416105,,,,0,0,2,26,3,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,,0
311,416201,,,,0,6,9,14,1,0,0,5,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,,0
312,416202,,,,0,6,13,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,,0
313,416203,,,,0,1,11,18,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,,0
314,416204,,,,0,6,12,12,0,11,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,,0
315,416205,,,,0,2,11,16,1,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0
317,416302,,,,0,0,5,25,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,,0
318,416401,,,,0,0,6,24,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,,0
319,416501,,,,0,0,10,20,0,1,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,0
320,416601,,,,0,0,7,22,1,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,0
321,416701,,,,0,2,5,23,0,1,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,0
499,862301,,,,3,26,2,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
500,863101,,,,1,20,6,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,,0
501,863201,,,,4,17,6,3,0,1,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,,0
502,863401,,,,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,0
503,864101,,,,5,17,3,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,,0
504,864201,,,,2,26,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
505,864301,,,,1,26,1,2,0,1,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
506,871101,,,,0,11,16,3,0,1,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
507,871201,,,,4,21,4,1,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
508,872101,,,,3,20,4,3,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
509,872201,,,,5,18,6,1,0,2,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
510,872301,,,,0,13,4,13,0,2,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
