"한국표준직업분류 개정7차","성별","경력구분","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"회계 및 경리 사무원(313)","전체","1~3년미만","전년도 연간특별급여","천원","1533","1354","1468","1778","2272","1952",
"회계 및 경리 사무원(313)","전체","1~3년미만","총근로시간","시간","176","177.2","162.3","167.8","153.5","154.1",
"회계 및 경리 사무원(313)","전체","1~3년미만","근로자수","명","78078","73190","73372","79738","80884","76607",
"회계 및 경리 사무원(313)","전체","3~5년미만","월임금총액","천원","2715","2774","2904","3120","3188","3330",
"회계 및 경리 사무원(313)","전체","3~5년미만","월급여액","천원","2526","2591","2714","2926","2995","3095",
"회계 및 경리 사무원(313)","전체","3~5년미만","전년도연간특별급여/12개월","천원","189","183","190","194","193","234",
"회계 및 경리 사무원(313)","전체","3~5년미만","전년도 연간특별급여","천원","2264","2200","2282","2332","2321","2812",
"회계 및 경리 사무원(313)","전체","3~5년미만","총근로시간","시간","175.1","175.5","162.8","169.5","155","153.9",
"회계 및 경리 사무원(313)","전체","3~5년미만","근로자수","명","62278","62851","63609","60704","61395","66161",
"회계 및 경리 사무원(313)","전체","5~10년미만","월임금총액","천원","3147","3198","3327","3507","3638","3771",
"회계 및 경리 사무원(313)","전체","5~10년미만","월급여액","천원","2868","2936","3057","3231","3347","3487",
"회계 및 경리 사무원(313)","전체","5~10년미만","전년도연간특별급여/12개월","천원","279","261","270","275","290","285",
"회계 및 경리 사무원(313)","전체","5~10년미만","전년도 연간특별급여","천원","3348","3137","3239","3301","3484","3416",
"회계 및 경리 사무원(313)","전체","5~10년미만","총근로시간","시간","176.5","175.7","164.1","168.1","154.8","154.9",
"회계 및 경리 사무원(313)","전체","5~10년미만","근로자수","명","89545","94964","97764","93520","97699","101120",
"회계 및 경리 사무원(313)","전체","10년이상","월임금총액","천원","3781","3856","4039","4260","4366","4492",
"회계 및 경리 사무원(313)","전체","10년이상","월급여액","천원","3389","3466","3622","3790","3914","4046",
"회계 및 경리 사무원(313)","전체","10년이상","전년도연간특별급여/12개월","천원","392","390","416","470","452","446",
"회계 및 경리 사무원(313)","전체","10년이상","전년도 연간특별급여","천원","4702","4680","4998","5645","5426","5352",
"회계 및 경리 사무원(313)","전체","10년이상","총근로시간","시간","176.3","176.8","162.9","168.9","154.1","154.4",
"회계 및 경리 사무원(313)","전체","10년이상","근로자수","명","155776","170274","186665","166155","182592","191705",
"회계 및 경리 사무원(313)","남","전경력","월임금총액","천원","4433","4532","4646","4946","5135","5269",
"회계 및 경리 사무원(313)","남","전경력","월급여액","천원","3878","3966","4084","4302","4476","4617",
"회계 및 경리 사무원(313)","남","전경력","전년도연간특별급여/12개월","천원","555","566","562","644","659","651",
"회계 및 경리 사무원(313)","남","전경력","전년도 연간특별급여","천원","6665","6787","6739","7722","7913","7817",
"회계 및 경리 사무원(313)","남","전경력","총근로시간","시간","178","178.8","165.7","171.4","156.6","156.6",
"회계 및 경리 사무원(313)","남","전경력","근로자수","명","85307","85876","88976","86035","87979","91367",
"회계 및 경리 사무원(313)","남","1년미만","월임금총액","천원","2906","2906","2937","3103","3303","3196",
"회계 및 경리 사무원(313)","남","1년미만","월급여액","천원","2867","2886","2892","3065","3256","3172",
"회계 및 경리 사무원(313)","남","1년미만","전년도연간특별급여/12개월","천원","39","20","45","38","46","24",
"회계 및 경리 사무원(313)","남","1년미만","전년도 연간특별급여","천원","462","236","541","457","556","282",
"회계 및 경리 사무원(313)","남","1년미만","총근로시간","시간","177.3","178","160.4","167.2","159.1","154.7",
"회계 및 경리 사무원(313)","남","1년미만","근로자수","명","6387","5619","6502","6406","6238","5007",
"회계 및 경리 사무원(313)","남","1~3년미만","월임금총액","천원","3194","3338","3362","3634","3961","3827",
"회계 및 경리 사무원(313)","남","1~3년미만","월급여액","천원","2938","3103","3107","3300","3607","3501",
"회계 및 경리 사무원(313)","남","1~3년미만","전년도연간특별급여/12개월","천원","256","235","256","334","354","326",
"회계 및 경리 사무원(313)","남","1~3년미만","전년도 연간특별급여","천원","3071","2823","3068","4010","4252","3906",
"회계 및 경리 사무원(313)","남","1~3년미만","총근로시간","시간","179.5","180.9","164.7","173.4","156","156.8",
"회계 및 경리 사무원(313)","남","1~3년미만","근로자수","명","12636","12268","13405","13719","14034","14540",
"회계 및 경리 사무원(313)","남","3~5년미만","월임금총액","천원","3721","3574","3806","4087","4170","4385",
"회계 및 경리 사무원(313)","남","3~5년미만","월급여액","천원","3266","3228","3431","3613","3635","3846",
"회계 및 경리 사무원(313)","남","3~5년미만","전년도연간특별급여/12개월","천원","455","346","376","474","535","539",
"회계 및 경리 사무원(313)","남","3~5년미만","전년도 연간특별급여","천원","5461","4151","4507","5689","6423","6473",
"회계 및 경리 사무원(313)","남","3~5년미만","총근로시간","시간","178.6","178","168","173","157.1","158",
"회계 및 경리 사무원(313)","남","3~5년미만","근로자수","명","10081","9994","9708","9636","10083","11862",
"회계 및 경리 사무원(313)","남","5~10년미만","월임금총액","천원","4379","4395","4372","4868","4874","4985",
"회계 및 경리 사무원(313)","남","5~10년미만","월급여액","천원","3795","3821","3870","4245","4272","4374",
"회계 및 경리 사무원(313)","남","5~10년미만","전년도연간특별급여/12개월","천원","585","574","502","623","602","611",
"회계 및 경리 사무원(313)","남","5~10년미만","전년도 연간특별급여","천원","7017","6887","6024","7477","7226","7331",
"회계 및 경리 사무원(313)","남","5~10년미만","총근로시간","시간","178.2","180","168.9","171.3","158.6","158.2",
"회계 및 경리 사무원(313)","남","5~10년미만","근로자수","명","19231","18909","17617","17243","17378","17784",
"회계 및 경리 사무원(313)","남","10년이상","월임금총액","천원","5343","5452","5635","5955","6183","6380",
"회계 및 경리 사무원(313)","남","10년이상","월급여액","천원","4583","4652","4826","5053","5266","5493",
"회계 및 경리 사무원(313)","남","10년이상","전년도연간특별급여/12개월","천원","759","800","809","903","917","887",
"회계 및 경리 사무원(313)","남","10년이상","전년도 연간특별급여","천원","9111","9599","9704","10830","11001","10642",
"회계 및 경리 사무원(313)","남","10년이상","총근로시간","시간","177.4","177.9","164.9","171.1","155.4","155.7",
"회계 및 경리 사무원(313)","남","10년이상","근로자수","명","36972","39086","41745","39031","40246","42173",
"회계 및 경리 사무원(313)","여","전경력","월임금총액","천원","2784","2900","3086","3183","3346","3466",
"회계 및 경리 사무원(313)","여","전경력","월급여액","천원","2603","2720","2880","2978","3127","3244",
"회계 및 경리 사무원(313)","여","전경력","전년도연간특별급여/12개월","천원","180","180","206","204","219","222",
"회계 및 경리 사무원(313)","여","전경력","전년도 연간특별급여","천원","2165","2159","2467","2451","2633","2664",
"회계 및 경리 사무원(313)","여","전경력","총근로시간","시간","175.1","175.3","162.1","167.6","153.6","153.5",
"회계 및 경리 사무원(313)","여","전경력","근로자수","명","337748","348460","369052","356136","368773","374317",
"회계 및 경리 사무원(313)","여","1년미만","월임금총액","천원","2117","2156","2345","2449","2553","2550",
"회계 및 경리 사무원(313)","여","1년미만","월급여액","천원","2106","2150","2333","2438","2534","2540",
"회계 및 경리 사무원(313)","여","1년미만","전년도연간특별급여/12개월","천원","11","5","12","11","19","9",
"회계 및 경리 사무원(313)","여","1년미만","전년도 연간특별급여","천원","131","66","140","129","224","113",
"회계 및 경리 사무원(313)","여","1년미만","총근로시간","시간","169.9","169.7","159.3","165.6","150.8","149.6",
"회계 및 경리 사무원(313)","여","1년미만","근로자수","명","30991","27438","30117","35648","27943","25084",
"회계 및 경리 사무원(313)","여","1~3년미만","월임금총액","천원","2352","2438","2559","2677","2841","2908",
"회계 및 경리 사무원(313)","여","1~3년미만","월급여액","천원","2249","2350","2467","2567","2687","2783",
"회계 및 경리 사무원(313)","여","1~3년미만","전년도연간특별급여/12개월","천원","103","88","93","110","155","124",
"회계 및 경리 사무원(313)","여","1~3년미만","전년도 연간특별급여","천원","1236","1059","1111","1314","1856","1494",
"회계 및 경리 사무원(313)","여","1~3년미만","총근로시간","시간","175.4","176.4","161.7","166.6","153","153.5",
"회계 및 경리 사무원(313)","여","1~3년미만","근로자수","명","65442","60922","59967","66018","66850","62067",
"회계 및 경리 사무원(313)","여","3~5년미만","월임금총액","천원","2521","2623","2742","2937","2996","3099",
"회계 및 경리 사무원(313)","여","3~5년미만","월급여액","천원","2383","2471","2585","2796","2869","2931",
"회계 및 경리 사무원(313)","여","3~5년미만","전년도연간특별급여/12개월","천원","137","153","157","142","126","168",
"회계 및 경리 사무원(313)","여","3~5년미만","전년도 연간특별급여","천원","1646","1831","1882","1698","1515","2013",
"회계 및 경리 사무원(313)","여","3~5년미만","총근로시간","시간","174.4","175","161.9","168.8","154.6","153",
"회계 및 경리 사무원(313)","여","3~5년미만","근로자수","명","52197","52857","53901","51068","51313","54298",
"회계 및 경리 사무원(313)","여","5~10년미만","월임금총액","천원","2810","2900","3097","3199","3370","3513",
"회계 및 경리 사무원(313)","여","5~10년미만","월급여액","천원","2615","2716","2878","3002","3147","3297",
"회계 및 경리 사무원(313)","여","5~10년미만","전년도연간특별급여/12개월","천원","195","184","219","196","223","215",
"회계 및 경리 사무원(313)","여","5~10년미만","전년도 연간특별급여","천원","2345","2205","2627","2357","2674","2581",
"회계 및 경리 사무원(313)","여","5~10년미만","총근로시간","시간","176.1","174.6","163.1","167.4","154","154.2",
"회계 및 경리 사무원(313)","여","5~10년미만","근로자수","명","70314","76055","80147","76277","80322","83336",
"회계 및 경리 사무원(313)","여","10년이상","월임금총액","천원","3295","3381","3579","3740","3852","3960",
"회계 및 경리 사무원(313)","여","10년이상","월급여액","천원","3018","3113","3276","3402","3531","3638",
"회계 및 경리 사무원(313)","여","10년이상","전년도연간특별급여/12개월","천원","277","268","304","338","321","322",
"회계 및 경리 사무원(313)","여","10년이상","전년도 연간특별급여","천원","3329","3214","3642","4053","3849","3860",
"회계 및 경리 사무원(313)","여","10년이상","총근로시간","시간","176","176.5","162.3","168.2","153.7","154",
"회계 및 경리 사무원(313)","여","10년이상","근로자수","명","118804","131188","144920","127125","142346","149532",
"비서 및 사무 보조원(314)","전체","전경력","월임금총액","천원","2554","2581","2705","2741","2842","2885",
"비서 및 사무 보조원(314)","전체","전경력","월급여액","천원","2363","2399","2502","2536","2644","2702",
"비서 및 사무 보조원(314)","전체","전경력","전년도연간특별급여/12개월","천원","190","182","202","205","198","183",
"비서 및 사무 보조원(314)","전체","전경력","전년도 연간특별급여","천원","2285","2186","2425","2462","2382","2198",
"비서 및 사무 보조원(314)","전체","전경력","총근로시간","시간","169.4","169.3","157.6","160.2","149.2","148.1",
"비서 및 사무 보조원(314)","전체","전경력","근로자수","명","99818","102617","112610","122347","118961","120144",
"비서 및 사무 보조원(314)","전체","1년미만","월임금총액","천원","2004","2089","2200","2161","2226","2296",
"비서 및 사무 보조원(314)","전체","1년미만","월급여액","천원","1993","2082","2179","2153","2217","2291",
"비서 및 사무 보조원(314)","전체","1년미만","전년도연간특별급여/12개월","천원","11","6","20","8","9","5",
"비서 및 사무 보조원(314)","전체","1년미만","전년도 연간특별급여","천원","133","77","243","96","107","61",
"비서 및 사무 보조원(314)","전체","1년미만","총근로시간","시간","167","168.6","153.6","154.6","144.7","142.7",
"비서 및 사무 보조원(314)","전체","1년미만","근로자수","명","21625","22924","27968","30061","25675","26878",
"비서 및 사무 보조원(314)","전체","1~3년미만","월임금총액","천원","2296","2334","2405","2450","2552","2556",
"비서 및 사무 보조원(314)","전체","1~3년미만","월급여액","천원","2176","2211","2278","2342","2439","2436",
"비서 및 사무 보조원(314)","전체","1~3년미만","전년도연간특별급여/12개월","천원","120","123","127","108","113","119",
"비서 및 사무 보조원(314)","전체","1~3년미만","전년도 연간특별급여","천원","1436","1475","1522","1301","1354","1432",
"비서 및 사무 보조원(314)","전체","1~3년미만","총근로시간","시간","169.5","170.1","158.1","161.2","148.2","147.1",
"비서 및 사무 보조원(314)","전체","1~3년미만","근로자수","명","30776","30262","31954","33033","33326","33908",
"비서 및 사무 보조원(314)","전체","3~5년미만","월임금총액","천원","2401","2493","2635","2667","2725","2957",
"비서 및 사무 보조원(314)","전체","3~5년미만","월급여액","천원","2237","2345","2449","2439","2574","2776",
"비서 및 사무 보조원(314)","전체","3~5년미만","전년도연간특별급여/12개월","천원","165","148","187","228","151","181",
"비서 및 사무 보조원(314)","전체","3~5년미만","전년도 연간특별급여","천원","1975","1777","2238","2732","1811","2169",
"비서 및 사무 보조원(314)","전체","3~5년미만","총근로시간","시간","166.4","171.8","162.2","157.4","151.5","149.8",
"비서 및 사무 보조원(314)","전체","3~5년미만","근로자수","명","14680","15633","16424","14948","14953","14613",
"비서 및 사무 보조원(314)","전체","5~10년미만","월임금총액","천원","2827","2735","2910","2865","2959","3080",
"비서 및 사무 보조원(314)","전체","5~10년미만","월급여액","천원","2531","2486","2657","2592","2691","2826",
"비서 및 사무 보조원(314)","전체","5~10년미만","전년도연간특별급여/12개월","천원","297","249","253","273","268","254",
"비서 및 사무 보조원(314)","전체","5~10년미만","전년도 연간특별급여","천원","3558","2992","3033","3274","3218","3049",
"비서 및 사무 보조원(314)","전체","5~10년미만","총근로시간","시간","169.4","165.2","159.3","162","150.7","147.7",
"비서 및 사무 보조원(314)","전체","5~10년미만","근로자수","명","16172","16415","16166","20320","18968","19150",
"비서 및 사무 보조원(314)","전체","10년이상","월임금총액","천원","3616","3593","3774","3811","3804","3754",
"비서 및 사무 보조원(314)","전체","10년이상","월급여액","천원","3141","3109","3228","3298","3333","3351",
"비서 및 사무 보조원(314)","전체","10년이상","전년도연간특별급여/12개월","천원","475","485","547","514","472","403",
"비서 및 사무 보조원(314)","전체","10년이상","전년도 연간특별급여","천원","5702","5814","6560","6167","5660","4837",
"비서 및 사무 보조원(314)","전체","10년이상","총근로시간","시간","174.9","170.8","157.2","166.2","152.7","154.1",
"비서 및 사무 보조원(314)","전체","10년이상","근로자수","명","16565","17383","20099","23985","26039","25596",
"비서 및 사무 보조원(314)","남","전경력","월임금총액","천원","2751","2782","2836","2948","3072","3062",
"비서 및 사무 보조원(314)","남","전경력","월급여액","천원","2543","2568","2624","2704","2819","2838",
"비서 및 사무 보조원(314)","남","전경력","전년도연간특별급여/12개월","천원","208","215","212","245","254","223",
"비서 및 사무 보조원(314)","남","전경력","전년도 연간특별급여","천원","2495","2578","2540","2935","3043","2679",
"비서 및 사무 보조원(314)","남","전경력","총근로시간","시간","171.2","169","157.5","160.4","148.1","147",
"비서 및 사무 보조원(314)","남","전경력","근로자수","명","22849","23680","23278","27192","25781","26138",
"비서 및 사무 보조원(314)","남","1년미만","월임금총액","천원","2086","2219","2232","2222","2207","2268",
"비서 및 사무 보조원(314)","남","1년미만","월급여액","천원","2078","2214","2216","2213","2202","2264",
"비서 및 사무 보조원(314)","남","1년미만","전년도연간특별급여/12개월","천원","8","5","16","10","5","4",
"비서 및 사무 보조원(314)","남","1년미만","전년도 연간특별급여","천원","97","59","189","115","64","49",
"비서 및 사무 보조원(314)","남","1년미만","총근로시간","시간","169.4","167.9","151.1","154.5","142.8","138.2",
"비서 및 사무 보조원(314)","남","1년미만","근로자수","명","4713","5956","6698","6690","6041","6665",
"비서 및 사무 보조원(314)","남","1~3년미만","월임금총액","천원","2399","2480","2562","2535","2711","2594",
"비서 및 사무 보조원(314)","남","1~3년미만","월급여액","천원","2286","2343","2417","2434","2573","2452",
"비서 및 사무 보조원(314)","남","1~3년미만","전년도연간특별급여/12개월","천원","113","137","145","101","138","143",
"비서 및 사무 보조원(314)","남","1~3년미만","전년도 연간특별급여","천원","1351","1647","1737","1217","1654","1712",
"비서 및 사무 보조원(314)","남","1~3년미만","총근로시간","시간","168.9","170.2","156.6","162.8","145.6","143.4",
"비서 및 사무 보조원(314)","남","1~3년미만","근로자수","명","6643","7091","5883","7413","6597","7102",
"비서 및 사무 보조원(314)","남","3~5년미만","월임금총액","천원","2521","2674","2734","2748","2840","3161",
"비서 및 사무 보조원(314)","남","3~5년미만","월급여액","천원","2303","2473","2540","2512","2685","2896",
"비서 및 사무 보조원(314)","남","3~5년미만","전년도연간특별급여/12개월","천원","218","201","194","236","155","265",
"비서 및 사무 보조원(314)","남","3~5년미만","전년도 연간특별급여","천원","2611","2416","2331","2836","1865","3180",
"비서 및 사무 보조원(314)","남","3~5년미만","총근로시간","시간","168.8","168.4","161.1","148.6","158.4","150.7",
"비서 및 사무 보조원(314)","남","3~5년미만","근로자수","명","3367","2759","2867","3341","2452","2852",
"비서 및 사무 보조원(314)","남","5~10년미만","월임금총액","천원","3002","2939","3072","3226","3329","3421",
"비서 및 사무 보조원(314)","남","5~10년미만","월급여액","천원","2730","2646","2839","2850","2971","3089",
"비서 및 사무 보조원(314)","남","5~10년미만","전년도연간특별급여/12개월","천원","272","293","233","376","358","332",
"비서 및 사무 보조원(314)","남","5~10년미만","전년도 연간특별급여","천원","3269","3520","2795","4515","4297","3984",
"비서 및 사무 보조원(314)","남","5~10년미만","총근로시간","시간","174.9","165.8","164.3","161.5","151.3","146.4",
"비서 및 사무 보조원(314)","남","5~10년미만","근로자수","명","3650","3989","3441","3487","3449","4242",
"비서 및 사무 보조원(314)","남","10년이상","월임금총액","천원","3940","4113","4006","4165","4079","4349",
"비서 및 사무 보조원(314)","남","10년이상","월급여액","천원","3440","3506","3411","3569","3529","3851",
"비서 및 사무 보조원(314)","남","10년이상","전년도연간특별급여/12개월","천원","500","607","595","596","550","498",
"비서 및 사무 보조원(314)","남","10년이상","전년도 연간특별급여","천원","5998","7288","7143","7155","6597","5981",
"비서 및 사무 보조원(314)","남","10년이상","총근로시간","시간","175.5","172.2","160.6","169.4","149.7","161.4",
"비서 및 사무 보조원(314)","남","10년이상","근로자수","명","4476","3885","4389","6260","7242","5277",
"비서 및 사무 보조원(314)","여","전경력","월임금총액","천원","2495","2520","2670","2682","2779","2836",
"비서 및 사무 보조원(314)","여","전경력","월급여액","천원","2310","2348","2471","2489","2596","2664",
"비서 및 사무 보조원(314)","여","전경력","전년도연간특별급여/12개월","천원","185","172","200","194","183","172",
"비서 및 사무 보조원(314)","여","전경력","전년도 연간특별급여","천원","2222","2069","2395","2326","2199","2065",
"비서 및 사무 보조원(314)","여","전경력","총근로시간","시간","168.8","169.5","157.6","160.2","149.6","148.4",
"비서 및 사무 보조원(314)","여","전경력","근로자수","명","76969","78937","89332","95155","93180","94006",
"비서 및 사무 보조원(314)","여","1년미만","월임금총액","천원","1981","2043","2190","2144","2232","2305",
"비서 및 사무 보조원(314)","여","1년미만","월급여액","천원","1970","2036","2168","2136","2222","2299",
"비서 및 사무 보조원(314)","여","1년미만","전년도연간특별급여/12개월","천원","12","7","22","8","10","5",
"비서 및 사무 보조원(314)","여","1년미만","전년도 연간특별급여","천원","143","84","260","91","120","65",
"비서 및 사무 보조원(314)","여","1년미만","총근로시간","시간","166.3","168.9","154.4","154.6","145.3","144.2",
"비서 및 사무 보조원(314)","여","1년미만","근로자수","명","16912","16968","21270","23371","19634","20212",
"비서 및 사무 보조원(314)","여","1~3년미만","월임금총액","천원","2268","2289","2370","2426","2513","2546",
"비서 및 사무 보조원(314)","여","1~3년미만","월급여액","천원","2146","2170","2247","2315","2406","2432",
"비서 및 사무 보조원(314)","여","1~3년미만","전년도연간특별급여/12개월","천원","122","119","123","110","107","113",
"비서 및 사무 보조원(314)","여","1~3년미만","전년도 연간특별급여","천원","1460","1422","1474","1325","1280","1358",
"비서 및 사무 보조원(314)","여","1~3년미만","총근로시간","시간","169.7","170","158.4","160.7","148.8","148.1",
"비서 및 사무 보조원(314)","여","1~3년미만","근로자수","명","24133","23171","26070","25620","26729","26806",
"비서 및 사무 보조원(314)","여","3~5년미만","월임금총액","천원","2366","2454","2614","2643","2702","2907",
"비서 및 사무 보조원(314)","여","3~5년미만","월급여액","천원","2217","2318","2429","2418","2552","2747",
"비서 및 사무 보조원(314)","여","3~5년미만","전년도연간특별급여/12개월","천원","149","137","185","225","150","160",
"비서 및 사무 보조원(314)","여","3~5년미만","전년도 연간특별급여","천원","1786","1640","2219","2702","1800","1923",
"비서 및 사무 보조원(314)","여","3~5년미만","총근로시간","시간","165.6","172.5","162.4","159.9","150.2","149.6",
"비서 및 사무 보조원(314)","여","3~5년미만","근로자수","명","11313","12875","13557","11607","12501","11760",
"비서 및 사무 보조원(314)","여","5~10년미만","월임금총액","천원","2776","2670","2866","2790","2877","2983",
"비서 및 사무 보조원(314)","여","5~10년미만","월급여액","천원","2473","2434","2608","2539","2629","2751",
"비서 및 사무 보조원(314)","여","5~10년미만","전년도연간특별급여/12개월","천원","304","235","258","251","248","232",
"비서 및 사무 보조원(314)","여","5~10년미만","전년도 연간특별급여","천원","3643","2823","3098","3017","2978","2782",
"비서 및 사무 보조원(314)","여","5~10년미만","총근로시간","시간","167.8","165","158","162.1","150.6","148.1",
"비서 및 사무 보조원(314)","여","5~10년미만","근로자수","명","12522","12426","12725","16832","15519","14909",
"비서 및 사무 보조원(314)","여","10년이상","월임금총액","천원","3497","3444","3710","3687","3699","3599",
"비서 및 사무 보조원(314)","여","10년이상","월급여액","천원","3031","2994","3177","3202","3257","3221",
"비서 및 사무 보조원(314)","여","10년이상","전년도연간특별급여/12개월","천원","466","449","533","485","442","378",
"비서 및 사무 보조원(314)","여","10년이상","전년도 연간특별급여","천원","5592","5390","6397","5818","5300","4540",
"비서 및 사무 보조원(314)","여","10년이상","총근로시간","시간","174.7","170.4","156.3","165","153.9","152.2",
"비서 및 사무 보조원(314)","여","10년이상","근로자수","명","12089","13498","15710","17725","18797","20319",
"금융 사무직(32)","전체","전경력","월임금총액","천원","5554","5782","6006","6386","6453","6422",
"금융 사무직(32)","전체","전경력","월급여액","천원","4165","4337","4440","4710","4893","4955",
"금융 사무직(32)","전체","전경력","전년도연간특별급여/12개월","천원","1389","1446","1566","1675","1560","1466",
"금융 사무직(32)","전체","전경력","전년도 연간특별급여","천원","16670","17347","18790","20103","18715","17597",
"금융 사무직(32)","전체","전경력","총근로시간","시간","177.4","177","161.8","169.2","154.1","152.7",
"금융 사무직(32)","전체","전경력","근로자수","명","213440","212577","223654","223532","222396","214645",
"금융 사무직(32)","전체","1년미만","월임금총액","천원","2622","2724","2752","2981","3139","3175",
"금융 사무직(32)","전체","1년미만","월급여액","천원","2546","2695","2715","2931","3109","3145",
"금융 사무직(32)","전체","1년미만","전년도연간특별급여/12개월","천원","76","29","37","50","30","30",
"금융 사무직(32)","전체","1년미만","전년도 연간특별급여","천원","908","344","438","599","361","361",
"금융 사무직(32)","전체","1년미만","총근로시간","시간","176.1","174.2","160.6","167.9","152.4","151.5",
"금융 사무직(32)","전체","1년미만","근로자수","명","10993","11211","10633","13502","12654","11308",
"금융 사무직(32)","전체","1~3년미만","월임금총액","천원","3372","3578","3677","3918","4116","3900",
"금융 사무직(32)","전체","1~3년미만","월급여액","천원","2832","3004","3056","3291","3444","3300",
"금융 사무직(32)","전체","1~3년미만","전년도연간특별급여/12개월","천원","540","573","622","627","673","600",
"금융 사무직(32)","전체","1~3년미만","전년도 연간특별급여","천원","6483","6880","7461","7525","8075","7205",
"금융 사무직(32)","전체","1~3년미만","총근로시간","시간","177.2","174.5","160.8","168.3","154.2","153.5",
"금융 사무직(32)","전체","1~3년미만","근로자수","명","24669","22730","21050","25692","26018","22686",
"금융 사무직(32)","전체","3~5년미만","월임금총액","천원","3882","3974","4172","4563","4484","4458",
"금융 사무직(32)","전체","3~5년미만","월급여액","천원","2998","3105","3256","3505","3648","3691",
"금융 사무직(32)","전체","3~5년미만","전년도연간특별급여/12개월","천원","884","869","916","1058","836","767",
"금융 사무직(32)","전체","3~5년미만","전년도 연간특별급여","천원","10607","10429","10988","12700","10027","9205",
"금융 사무직(32)","전체","3~5년미만","총근로시간","시간","177.4","177","162.3","169.7","155.1","153.8",
"금융 사무직(32)","전체","3~5년미만","근로자수","명","18822","16692","19032","20741","16552","16797",
"금융 사무직(32)","전체","5~10년미만","월임금총액","천원","4728","4734","4800","5264","5294","5241",
"금융 사무직(32)","전체","5~10년미만","월급여액","천원","3549","3580","3622","3893","4118","4262",
"금융 사무직(32)","전체","5~10년미만","전년도연간특별급여/12개월","천원","1179","1154","1178","1371","1175","979",
"금융 사무직(32)","전체","5~10년미만","전년도 연간특별급여","천원","14147","13846","14133","16450","14103","11752",
"금융 사무직(32)","전체","5~10년미만","총근로시간","시간","179.3","176","162","170.1","153.7","152.1",
"금융 사무직(32)","전체","5~10년미만","근로자수","명","42591","39482","39770","41960","38944","39735",
"금융 사무직(32)","전체","10년이상","월임금총액","천원","6867","7056","7256","7983","7861","7822",
"금융 사무직(32)","전체","10년이상","월급여액","천원","5015","5146","5210","5695","5760","5815",
"금융 사무직(32)","전체","10년이상","전년도연간특별급여/12개월","천원","1852","1910","2046","2287","2101","2006",
"금융 사무직(32)","전체","10년이상","전년도 연간특별급여","천원","22223","22917","24551","27447","25207","24073",
"금융 사무직(32)","전체","10년이상","총근로시간","시간","176.8","178.1","161.9","169.2","154.2","152.7",
"금융 사무직(32)","전체","10년이상","근로자수","명","116365","122461","133170","121637","128228","124120",
"금융 사무직(32)","남","전경력","월임금총액","천원","6311","6458","6732","7271","7163","6954",
"금융 사무직(32)","남","전경력","월급여액","천원","4633","4766","4891","5257","5331","5354",
"금융 사무직(32)","남","전경력","전년도연간특별급여/12개월","천원","1678","1692","1841","2014","1832","1601",
"금융 사무직(32)","남","전경력","전년도 연간특별급여","천원","20140","20307","22088","24173","21988","19207",
"금융 사무직(32)","남","전경력","총근로시간","시간","178.2","177.5","162.4","169.6","154.3","153.6",
"금융 사무직(32)","남","전경력","근로자수","명","96461","96308","97751","96085","95934","88652",
"금융 사무직(32)","남","1년미만","월임금총액","천원","2948","2893","2904","3217","3307","3516",
"금융 사무직(32)","남","1년미만","월급여액","천원","2817","2853","2860","3135","3285","3476",
"금융 사무직(32)","남","1년미만","전년도연간특별급여/12개월","천원","131","40","45","81","21","40",
"금융 사무직(32)","남","1년미만","전년도 연간특별급여","천원","1574","474","537","977","254","485",
"금융 사무직(32)","남","1년미만","총근로시간","시간","177.1","173.1","160.6","167.5","151.4","154.2",
"금융 사무직(32)","남","1년미만","근로자수","명","5088","5748","5240","5339","5544","5175",
"금융 사무직(32)","남","1~3년미만","월임금총액","천원","3772","4033","4083","4395","4563","4285",
"금융 사무직(32)","남","1~3년미만","월급여액","천원","3135","3328","3366","3627","3740","3579",
"금융 사무직(32)","남","1~3년미만","전년도연간특별급여/12개월","천원","637","705","717","768","822","706",
"금융 사무직(32)","남","1~3년미만","전년도 연간특별급여","천원","7643","8458","8605","9219","9870","8466",
"금융 사무직(32)","남","1~3년미만","총근로시간","시간","177.6","175.6","161.8","167.7","154.7","155.3",
"금융 사무직(32)","남","1~3년미만","근로자수","명","10656","9909","8652","10723","11073","8449",
"금융 사무직(32)","남","3~5년미만","월임금총액","천원","4470","4471","4775","5124","4991","4812",
"금융 사무직(32)","남","3~5년미만","월급여액","천원","3357","3437","3617","3762","3920","3859",
"금융 사무직(32)","남","3~5년미만","전년도연간특별급여/12개월","천원","1113","1034","1158","1361","1071","953",
"금융 사무직(32)","남","3~5년미만","전년도 연간특별급여","천원","13360","12409","13895","16335","12850","11436",
"금융 사무직(32)","남","3~5년미만","총근로시간","시간","178.9","177.7","163.6","169.9","155.2","154.8",
"금융 사무직(32)","남","3~5년미만","근로자수","명","8104","7076","7046","9036","6780","6900",
"금융 사무직(32)","남","5~10년미만","월임금총액","천원","5503","5479","5523","6169","6039","5773",
"금융 사무직(32)","남","5~10년미만","월급여액","천원","4068","4043","4061","4456","4530","4611",
"금융 사무직(32)","남","5~10년미만","전년도연간특별급여/12개월","천원","1435","1436","1463","1713","1509","1162",
"금융 사무직(32)","남","5~10년미만","전년도 연간특별급여","천원","17223","17229","17551","20553","18104","13944",
