KNOW직업코드,유사직업명,조사년도
5315,"형사, 수사관, 조사관, 분석관, 포렌직요원, 경찰",2013
5320,"구급대원, 소방사, 구조대원",2013
5331,"교정직공무원, 간수",2013
5335,"교도관, 소년원관리자",2013
6111,"의사선생님 , 박사",2013
6112,의사선생님,2013
6113,의사선생님,2013
6114,의사선생님,2013
6115,의사선생님,2013
6116,의사선생님,2013
6117,의사선생님,2013
6118,의사선생님,2013
6119,선생님,2013
6120,의사선생님,2013
6121,의사선생님,2013
6122,의사선생님,2013
6123,선생님,2013
6124,의사선생님,2013
6129,의사선생님,2013
6130,의사선생님,2013
6200,의사선생님,2013
6300,,2013
6301,,2013
6401,"양호선생님, 보건선생님",2013
6402,,2012
6403,"간호사, 전문간호사",2013
6404,"간호사, 전문간호사",2013
6405,"간호사, 전문간호사",2013
6406,,2015
6510,PT,2013
6520,"심리치료사, 심리검사자, 임상심리사, 상담자",2013
6521,"심리치료사, 심리검사자, 임상심리시, 상담자",2013
6591,"언어재활사, 언어장애전문가",2013
6592,"재활치료사, OT",2013
6593,심리치료사,2013
6598,청능치료사,2013
6610,,2013
6620,X-ray기사,2013
6630,,2013
6640,,2013
6641,의공기사,2013
6650,,2013
6710,기사,2013
6711,,2015
6730,,2013
6740,조리사,2013
6750,"기록사, 보건기사",2013
6760,"간호사, 의사선생님, 구급대원 EMT",2013
6770,간호사. 간호원,2013
6780,요양보호사,2013
6791,,2013
6792,접수자,2013
7110,사회사업가,2012
7111,"심리상담사, 사회복지사, 정신보건사회복지사",2013
7120,"심리치료사, 전문상담사, 상담교사",2013
7125,복지사,2013
7130,"취업알선원, 취업설계사",2013
7131,잡매니저,2013
6131,,2016
6132,,2016
6134,,2016
6135,,2016
6136,,2016
6137,,2016
6138,,2016
6139,,2016
6140,,2016
6407,,2016
6410,,2016
6411,,2016
1111,공무원,2013
1112,,2013
1113,"시의원, 정치인",2013
1120,,2013
1210,없음,2013
1211,"회계사, 자산관리사, 신용관리사, 신용분석사",2013
1212,,2013
1221,"펀드매니저, 애널리스트, 지점장",2013
1222,"보험설계사, 자산관리자, , FC보험설계사, 재무상담사",2013
1223,,2015
1224,,2015
1290,리서처,2013
1291,중개인,2013
1311,선생님,2013
1312,선생님,2013
1313,"선생님, 교감선생님, 교장선생님",2013
1314,"교수님, 선생님",2013
1320,연구원,2013
1331,"경찰관, 경찰, 형사",2013
1332,"구급대원, 화재조사관, 소방관",2013
1333,교도관,2013
1334,사회복지사,2013
1341,,2013
1410,현장 소장,2013
1430,"품질경영자, DBA, DA",2013
1440,"공장장, 감독관",2013
1510,"녹, 관리사",2013
1521,,2013
1530,,2015
1531,"경비기사,  미화원, 경비",2013
1540,"매니저, 호텔지배인",2013
1545,여행가이드,2013
1550,"매니저, 지배인",2013
2111,"인사컨설턴트, 공인노무사, 노무사",2013
2112," 회사원, 사무직직원",2013
2113,"커리어 컨설턴트, 헤드헌터, 컨설턴트",2013
2114,,2015
2120,브랜드기획자,2013
2121,"M&A 전문가, 세무사",2013
2125,의원검,2013
2126,,2015
2130,"CPA, 회계사, 사무원",2013
2150,"회계사, 자산관리사, 신용관리사, 신용분석사",2013
2173,,2013
2181,"PM, 이벤트인, 기획자, 이벤트 PD, 행사진행자, 이벤트기획자,  이벤트조연출",2013
